ID,X,Y,pH,EC,Na,K,MO,Kdisp,Silt,ECEC,BD,CEC,Ca,Mg,Sand,Clay,SQIw,SAVI,EVI,NDWI,NDVI,NDMI,NDII,GCI,clase,dpto,prov,dist,Culitvo_pr,Textura,TS,GM,ZV,CL,EG,MP,SSST,ECP,EMP,EPP,ESP,CM,CK,MK,CMK,DC,FC,NDC,GR,Pmon,Pan,Tmin,Tmax,Tavg,Slope,Hillshade,Orientatio,Elevation,TPI,TRI,TWI,Precipitat,Temperatur,site_id_internal_rk,Elevation,Slope,Orientation,Hillshade,TPI,TRI,TWI,NDVI,SAVI,NDWI,Precipitation,Temperature
1,596962,9439346,7.1,3.19,0.1,0.4,0.6,58.5,12.2,10.5,1.58,17.7,7.6,1.4,74.1,13.7,0.6,0.3,0.4,-0.29,0.38,0.25,0.14,0.96,Muy bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Non salt afected soil,72.38,13.33,3.81,0.95,5.43,19,3.5,22.5,30.48,380.38,-349.9,0,14.33,172,18.29,29.86,24.06,5.12,183,198.5,118,-0.469,1.071,7.754,218.07,24.8,1,118.40367126464844,3.144042491912842,180.31658935546875,181.38092041015625,0.010919418185949326,1.0410710573196411,8.606087684631348,0.3814874291419983,0.30248892307281494,-0.28859463334083557,218.0732879638672,24.799999237060547
2,602317,9432779,7.5,5.44,0.1,0.6,1.7,154.2,23.2,29.2,1.49,20.7,22.7,4.8,48.8,28,0.87,0.37,0.52,-0.29,0.46,0.29,0.17,1.05,Medio,Piura,Morropon,Chulucanas,Mango,Loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,77.74,16.44,2.05,0.34,4.73,37.83,8,45.83,60.36,1151.88,-1091.52,0,15.58,187,18.3,29.95,24.13,2.29,177,134.89,109,-0.041,0.903,8.476,226.17,24.88,2,109.0712661743164,2.1253795623779297,125.14571380615234,179.8341522216797,-0.1893683522939682,1.007387399673462,8.943987846374512,0.4589306712150574,0.3734559416770935,-0.2919650077819824,226.16737365722656,24.876752853393555
3,607786,9425210,7.2,6.88,0.2,1.2,2.8,304.2,25.2,22.6,1.51,16.7,17.6,2.6,52.5,22.3,0.89,0.49,0.7,-0.25,0.58,0.38,0.25,1.33,Alto,Piura,Morropon,Chulucanas,Mango,Sandy clay loam,Ferralsols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,77.88,11.5,5.31,0.88,6.77,14.67,2.17,16.83,81.02,863.76,-782.74,0,16.33,196,18.34,29.86,24.11,1.62,180,225.11,107,0.49,1.357,8.801,237.78,24.9,3,106.65776824951172,3.232523202896118,159.76248168945313,182.11416625976563,0.1950761377811432,1.5579445362091064,8.562665939331055,0.5764091610908508,0.4890539348125458,-0.250455379486084,237.7838134765625,24.899999618530273
4,597041,9439394,7.4,2.68,0.1,0.4,1.2,57.6,15.2,18.8,1.54,17.7,14.9,2.4,62.7,22.1,0.78,0.35,0.48,-0.27,0.44,0.28,0.17,0.9,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Non salt afected soil,79.26,12.77,2.13,0.53,6.21,37.25,6,43.25,39.48,735.88,-696.4,0,14.33,172,18.28,29.84,24.05,3.25,180,243.53,120,0.98,0.937,11.696,218.4,24.8,4,119.05125427246094,2.5982720851898193,169.681884765625,179.9750213623047,-9.73225905909203e-5,0.972963809967041,8.789305686950684,0.43968021869659424,0.34558263421058655,-0.2662847340106964,218.3984832763672,24.799999237060547
5,604142,9433243,7.5,8.53,0.1,0.4,2.8,182.1,15.2,15.1,1.53,17.8,11.2,2.4,62.6,22.2,0.67,0.39,0.53,-0.25,0.49,0.33,0.21,0.96,Bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Lixisols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,74.17,15.89,2.65,0.66,4.67,28,6,34,35.78,569.38,-533.6,0,15.75,189,18.34,29.94,24.15,4.88,172,90,119,0.082,1.589,7.808,232.81,24.84,5,119.46939086914063,3.5957696437835693,165.41278076171875,179.31375122070313,0.5770349502563477,1.4582570791244507,8.250581741333008,0.4896303117275238,0.38620197772979736,-0.25078651309013367,232.8104705810547,24.839969635009766
6,597723,9433815,7.6,4.69,0.1,0.3,2.2,94.4,26.2,28.9,1.35,20.4,22.7,4.8,12.1,61.7,0.6,0.34,0.47,-0.3,0.42,0.24,0.13,0.96,Medio,Piura,Morropon,Chulucanas,Mango,Silty loam,Lixisols,Floodplain,Tropical Premontane desert scrub,E (d) A',Cenozoico,Fluvial deposit,Neutral saline soil,78.55,16.61,1.04,0.35,4.73,75.67,16,91.67,46.86,1151.58,-1104.72,0,14,168,18.24,29.89,24.06,2.29,177,134.89,96,0.163,1.765,8.348,212.23,24.8,6,96.1236572265625,3.9301095008850098,128.57501220703125,175.79905700683594,0.21260695159435272,1.6575433015823364,8.077582359313965,0.4188918471336365,0.3425218462944031,-0.29681387543678284,212.23121643066406,24.799999237060547
7,599046,9440916,7.1,3.68,0.4,0.2,1.9,53.3,30.2,19,1.45,18.5,14.3,3.1,34.1,35.7,0.85,0.38,0.51,-0.3,0.47,0.28,0.16,0.96,Bajo,Piura,Morropon,Chulucanas,Mango,Clay loam,Ferralsols,Alluvial terrace,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Fluvial deposit,Neutral saline soil,75.26,16.32,1.05,2.11,4.61,71.5,15.5,87,38.57,728.12,-689.55,0,15,180,18.25,29.78,24.02,8.11,189,216.98,142,1.163,2.35,7.467,227.57,24.7,7,141.99557495117188,6.092767715454102,202.1900177001953,184.21482849121094,1.1493455171585083,2.145062208175659,7.927546977996826,0.4735191762447357,0.3796089291572571,-0.29870128631591797,227.57171630859375,24.700000762939453
8,592814,9435222,7.8,7.18,0.1,0.6,1.7,77.9,23.2,28.4,1.43,19.3,22.4,4.3,32.8,44,0.79,0.22,0.31,-0.28,0.27,0.36,0.23,1.25,Bajo,Piura,Morropon,Chulucanas,Mango,Loam,Lixisols,Floodplain,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,78.87,15.14,2.11,0.35,5.21,37.33,7.17,44.5,59.21,1124.88,-1065.67,0,13.17,158,18.22,29.87,24.03,4.86,180,144.35,91,-1.571,1.738,7.564,198,24.8,8,92.51615142822266,4.591799259185791,205.406982421875,183.43771362304688,-0.25048473477363586,1.438175082206726,7.698731422424316,0.26914945244789124,0.2226657122373581,-0.2766720950603485,197.99789428710938,24.799999237060547
9,594052,9435511,7.5,6.47,0.1,0.4,0.9,70.8,15.2,18,1.58,19.4,14.6,1.9,72.8,12,0.56,0.37,0.5,-0.24,0.47,0.38,0.26,1.2,Muy bajo,Piura,Morropon,Chulucanas,Mango,Sandy loam,Ferralsols,Alluvial terrace,Tropical desert scrub,E (d) A',Cenozoico,Alluvial deposit,Neutral saline soil,81.11,10.56,2.22,0.56,7.68,36.5,4.75,41.25,38.33,708.88,-670.55,0,14.58,175,18.24,29.78,24,3.62,183,206.66,97,-2.714,1.841,7.93,203.34,24.8,9,99.52845001220703,6.21391487121582,167.3652801513672,180.9722900390625,-0.21823425590991974,1.8123278617858887,7.515450954437256,0.4744870066642761,0.3730370104312897,-0.24185405671596527,203.34390258789063,24.799999237060547
10,595140,9441558,7.5,5.32,0.1,1.2,1.7,189.1,29.2,23.6,1.39,20.9,17.1,4.2,20.7,50.1,0.8,0.36,0.47,-0.32,0.45,0.29,0.17,0.94,Alto,Piura,Morropon,Chulucanas,Mango,Clay loam,Leptosols,Piedmont alluvial fan,Tropical Premontane desert scrub,"D (i , p) A'",Cenozoico,Residual sedimentario clastico,Neutral saline soil,72.46,17.8,5.08,0.42,4.07,14.25,3.5,17.75,80.74,884.28,-803.54,0,15.5,186,18.34,29.99,24.16,1.63,183,270,104,0.122,1.769,8.773,214.1,24.79,10,103.64480590820313,3.515241861343384,229.89816284179688,184.8014373779297,-0.47827503085136414,1.7870298624038696,8.206474304199219,0.4487224221229553,0.3589695692062378,-0.3182799816131592,214.09608459472656,24.78551483154297
