ID;pH;EC;Na;K;MO;Kdisp;Silt;ECEC;BD;CEC;Ca;Mg;Sand;Clay;SQIw;SAVI;EVI;NDWI;NDVI;NDMI;NDII;GCI;clase;X;Y;dpto;prov;dist;Culitvo priorizado;Textura;TS;GM;ZV;CL;EG;MP;SSST;ECP;EMP;EPP;ESP;CM;CK;MK;CMK;DC;FC;NDC;GR;SK;SA;Pmon;Pan;Tmin;Tmax;Tavg;Slope;Hillshade;Orientition;Elevation;TPI;TRI;TWI;Precipitation;Temperature
1;7.1;3.19;0.1;0.4;0.6;58.5;12.2;10.5;1.58;17.7;7.6;1.4;74.1;13.7;0.6;0.3;0.4;-0.29;0.38;0.25;0.14;0.96;Muy bajo;596962;9439346;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Non salt afected soil;72.38;13.33;3.81;0.95;5.43;19;3.5;22.5;30.48;380.38;-349.9;0;NA;NA;14.33;172;18.29;29.86;24.06;5.12;183;198.5;118;-0.469;1.071;7.754;218.07;24.8
2;7.5;5.44;0.1;0.6;1.7;154.2;23.2;29.2;1.49;20.7;22.7;4.8;48.8;28;0.87;0.37;0.52;-0.29;0.46;0.29;0.17;1.05;Medio;602317;9432779;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;77.74;16.44;2.05;0.34;4.73;37.83;8;45.83;60.36;1151.88;-1091.52;0;NA;NA;15.58;187;18.3;29.95;24.13;2.29;177;134.89;109;-0.041;0.903;8.476;226.17;24.88
3;7.2;6.88;0.2;1.2;2.8;304.2;25.2;22.6;1.51;16.7;17.6;2.6;52.5;22.3;0.89;0.49;0.7;-0.25;0.58;0.38;0.25;1.33;Alto;607786;9425210;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;77.88;11.5;5.31;0.88;6.77;14.67;2.17;16.83;81.02;863.76;-782.74;0;NA;NA;16.33;196;18.34;29.86;24.11;1.62;180;225.11;107;0.49;1.357;8.801;237.78;24.9
4;7.4;2.68;0.1;0.4;1.2;57.6;15.2;18.8;1.54;17.7;14.9;2.4;62.7;22.1;0.78;0.35;0.48;-0.27;0.44;0.28;0.17;0.9;Bajo;597041;9439394;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Non salt afected soil;79.26;12.77;2.13;0.53;6.21;37.25;6;43.25;39.48;735.88;-696.4;0;NA;NA;14.33;172;18.28;29.84;24.05;3.25;180;243.53;120;0.98;0.937;11.696;218.4;24.8
5;7.5;8.53;0.1;0.4;2.8;182.1;15.2;15.1;1.53;17.8;11.2;2.4;62.6;22.2;0.67;0.39;0.53;-0.25;0.49;0.33;0.21;0.96;Bajo;604142;9433243;Piura;Morropon;Chulucanas;Mango;Sandy loam;Lixisols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;74.17;15.89;2.65;0.66;4.67;28;6;34;35.78;569.38;-533.6;0;NA;NA;15.75;189;18.34;29.94;24.15;4.88;172;90;119;0.082;1.589;7.808;232.81;24.84
6;7.6;4.69;0.1;0.3;2.2;94.4;26.2;28.9;1.35;20.4;22.7;4.8;12.1;61.7;0.6;0.34;0.47;-0.3;0.42;0.24;0.13;0.96;Medio;597723;9433815;Piura;Morropon;Chulucanas;Mango;Silty loam;Lixisols;Floodplain;Tropical Premontane desert scrub;E (d) A';Cenozoico;Fluvial deposit;Neutral saline soil;78.55;16.61;1.04;0.35;4.73;75.67;16;91.67;46.86;1151.58;-1104.72;0;NA;NA;14;168;18.24;29.89;24.06;2.29;177;134.89;96;0.163;1.765;8.348;212.23;24.8
7;7.1;3.68;0.4;0.2;1.9;53.3;30.2;19;1.45;18.5;14.3;3.1;34.1;35.7;0.85;0.38;0.51;-0.3;0.47;0.28;0.16;0.96;Bajo;599046;9440916;Piura;Morropon;Chulucanas;Mango;Clay loam;Ferralsols;Alluvial terrace;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Fluvial deposit;Neutral saline soil;75.26;16.32;1.05;2.11;4.61;71.5;15.5;87;38.57;728.12;-689.55;0;NA;NA;15;180;18.25;29.78;24.02;8.11;189;216.98;142;1.163;2.35;7.467;227.57;24.7
8;7.8;7.18;0.1;0.6;1.7;77.9;23.2;28.4;1.43;19.3;22.4;4.3;32.8;44;0.79;0.22;0.31;-0.28;0.27;0.36;0.23;1.25;Bajo;592814;9435222;Piura;Morropon;Chulucanas;Mango;Loam;Lixisols;Floodplain;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;78.87;15.14;2.11;0.35;5.21;37.33;7.17;44.5;59.21;1124.88;-1065.67;0;NA;NA;13.17;158;18.22;29.87;24.03;4.86;180;144.35;91;-1.571;1.738;7.564;198;24.8
9;7.5;6.47;0.1;0.4;0.9;70.8;15.2;18;1.58;19.4;14.6;1.9;72.8;12;0.56;0.37;0.5;-0.24;0.47;0.38;0.26;1.2;Muy bajo;594052;9435511;Piura;Morropon;Chulucanas;Mango;Sandy loam;Ferralsols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;81.11;10.56;2.22;0.56;7.68;36.5;4.75;41.25;38.33;708.88;-670.55;0;NA;NA;14.58;175;18.24;29.78;24;3.62;183;206.66;97;-2.714;1.841;7.93;203.34;24.8
10;7.5;5.32;0.1;1.2;1.7;189.1;29.2;23.6;1.39;20.9;17.1;4.2;20.7;50.1;0.8;0.36;0.47;-0.32;0.45;0.29;0.17;0.94;Alto;595140;9441558;Piura;Morropon;Chulucanas;Mango;Clay loam;Leptosols;Piedmont alluvial fan;Tropical Premontane desert scrub;D (i , p) A';Cenozoico;Residual sedimentario clastico;Neutral saline soil;72.46;17.8;5.08;0.42;4.07;14.25;3.5;17.75;80.74;884.28;-803.54;0;NA;NA;15.5;186;18.34;29.99;24.16;1.63;183;270;104;0.122;1.769;8.773;214.1;24.79
11;7.5;8.99;0.1;1.1;2.3;204.2;24.2;29.1;1.49;15.2;21.5;5.4;48.1;27.7;0.87;0.31;0.4;-0.33;0.38;0.32;0.2;1.08;Medio;591445;9437207;Piura;Morropon;Chulucanas;Mango;Sandy clay loam;Cambisols;Alluvial terrace;Tropical desert scrub;E (d) A';Cenozoico;Alluvial deposit;Neutral saline soil;73.88;18.56;3.78;0.34;3.98;19.55;4.91;24.45;82.68;1114.58;-1031.9;0;NA;NA;12.92;155;18.23;29.93;24.08;9.85;183;189.5;87;0.551;2.564;6.79;197.13;24.8
